n_evt,gpz,wid_x,wid_y,wew_x,wew_y,seed_x,seed_y,trkl_x,trkl_y,trkl_z,trkl_px,trkl_py,trkl_pz,E/p,h4_41,h4_42,h4_43,h4_44,h4_45,h4_46
1,15.744872,0.0,0.0,0.0,0.0,-6.449999999999989,-11.519999999999996,0.6321467,-7.0693197,1859.8658,-1.0445726,-0.33028695,47.87443,0.029579658,-13.693212509155273,-11.931915283203125,-12.754112243652344,-12.988407135009766,-9.43876838684082,-9999
2,53.866234,0.0,0.0,0.0,1.7763568394002505e-15,-0.9199999999999875,10.600000000000009,0.712823,13.713684,1896.8088,-0.41286817,0.12273759,50.159386,0.007999861,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
3,79.95031,0.0,0.0,1.7763568394002505e-15,0.0,10.140000000000015,10.600000000000009,14.297012,12.41782,1896.8296,-0.23860574,-0.027437935,51.937096,0.0058046603,9.466787338256836,-9999,10.405887603759766,-9999,-9999,9.164667129516602
4,16.825531,0.0,2.7650000000000006,1.1086572941633276e-06,0.6591942264843548,-28.569999999999993,21.66000000000001,-22.597902,25.914534,1896.7817,-1.2953991,0.3185663,47.979324,0.033064224,-9999,34.388084411621094,-9999,33.33159255981445,-9999,-29.495332717895508
5,70.83556,0.0,0.0,0.0,0.0,10.140000000000015,16.13000000000001,12.206036,17.831543,1896.8242,-0.27164674,-0.06999764,50.390053,0.006209373,9.466787338256836,-9999,10.405887603759766,-9999,-9999,9.164667129516602
6,62.318882,2.7650000000000006,0.0,0.6458590343820999,1.068660949933331e-08,-6.449999999999989,-0.45999999999999375,-4.633755,2.886173,1896.8035,-0.3728687,-0.07601691,50.64806,0.0074903043,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9.43876838684082,-10.165332794189453
7,31.109312,2.7650000000000006,0.0,0.8898121132751828,6.733029424822569e-07,-6.449999999999989,21.66000000000001,0.021686103,23.69584,1896.7888,-0.8014016,0.2224561,49.462826,0.01427293,32.62678909301758,34.388084411621094,33.565887451171875,33.33159255981445,-9999,-10.165332794189453
8,89.19958,0.0,0.0,0.0,0.0,10.140000000000015,16.13000000000001,12.709082,17.799442,1896.821,-0.2146876,0.011136128,50.503666,0.0048691356,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,9.891231536865234,9.164667129516602
9,45.568195,2.6068669999744056,2.6068669999744056,0.6999895963759823,1.5216542654046972,-6.449999999999989,10.600000000000009,-1.2184763,15.382694,1896.8025,-0.41565204,0.08485016,49.801178,0.01416634,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
10,75.159225,0.0,2.7650000000000006,2.6113224807900606e-07,0.6778838410863076,10.140000000000015,10.600000000000009,13.904107,12.695288,1896.8273,-0.24214879,0.07257563,52.15656,0.006280644,9.466787338256836,-9999,10.405887603759766,-9999,-9999,9.164667129516602
11,68.566956,0.0,0.0,0.0,0.0,4.610000000000014,10.600000000000009,9.4568205,15.654864,1896.8206,-0.24314788,0.016705552,50.32165,0.006973488,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
